dataset	n_rows	n_columns
ds002134	50	16
ds003436	50	11
ds000148	50	15
ds000109	49	3
ds003799	49	6
ds004386	49	4
ds002168	49	8
ds005841	49	3
ds002522	49	4
ds002154	49	6
ds004068	49	4
ds006693	49	7
ds002419	49	45
ds005572	49	1
ds005947	49	3
ds005095	49	4
ds005868	49	12
ds004440	49	4
ds004635	49	3
ds005411	49	4
ds006554	48	2
ds006648	48	2
ds005551	48	5
ds004327	48	45
ds004934	48	4
ds003702	48	5
ds001810	48	4
ds001371	48	4
ds006521	48	5
ds007335	47	4
ds006628	47	4
ds005598	47	3
ds005230	47	4
ds002422	47	3
ds007176	46	5
ds003620	46	48
ds000245	46	6
ds004533	46	4
ds000144	46	26
ds004511	45	3
ds004872	45	18
ds005050	45	3
ds003851	45	5
ds003787	45	4
ds004647	45	3
ds005469	44	8
ds005374	44	5
ds004000	44	2
ds005875	44	11
ds004516	44	6
ds005363	44	5
ds002033	44	10
ds006583	44	11
ds007318	44	4
ds006902	44	6
ds005343	44	3
ds006010	43	3
ds005106	43	6
ds004054	43	7
ds004621	43	90
ds004717	43	8
ds001386	43	4
ds004588	43	1
ds000174	43	10
ds004456	43	16
ds001534	43	11
ds005559	43	5
ds004006	42	3
ds003554	42	4
ds004369	42	8
ds005207	42	1
ds005960	42	3
ds000217	42	4
ds007081	42	1
ds003511	41	3
ds004519	41	1
ds002813	41	5
ds006179	41	4
ds001725	41	4
ds006642	41	4
ds006472	41	4
ds007441	41	1
ds006644	41	10
ds004495	41	4
ds004563	41	4
ds003782	41	1
ds005115	41	22
ds005007	41	4
ds005588	41	3
ds004786	41	4
ds004388	41	11
ds003570	41	5
ds004471	41	4
ds004367	41	4
ds001928	41	27
ds004926	41	3
ds001771	41	55
ds000212	40	4
ds003453	40	3
ds005289	40	6
ds006670	40	4
ds005883	40	8
ds007115	40	4
ds004368	40	4
ds005946	40	20
ds002872	40	3
ds006731	40	3
ds004544	40	3
ds000171	40	4
ds006921	39	11
ds001529	39	3
ds005687	39	7
ds004502	39	3
ds003500	39	7
ds005489	39	4
ds002896	39	7
ds004631	39	3
ds003550	39	4
ds003095	39	4
ds004802	39	6
ds005420	38	6
ds004603	38	7
ds001110	38	4
ds000113	38	92
ds006568	38	4
ds004094	38	4
ds003830	38	19
ds005479	38	26
ds007345	38	12
ds000214	37	24
ds002620	37	7
ds006839	37	4
ds001417	37	8
ds004557	37	6
ds004134	37	3
ds001814	37	6
ds002366	37	7
ds007275	37	17
ds006374	37	4
ds001226	37	53
ds005089	37	3
ds004015	37	9
ds001618	37	3
ds006559	36	4
ds007162	36	6
ds005418	36	3
ds003711	36	3
ds003029	36	11
ds001365	36	12
ds000238	36	9
ds003358	36	3
ds003401	36	4
ds005126	36	9
ds002878	36	6
ds002242	36	3
ds002655	36	3
ds005048	36	5
ds003521	36	4
ds005857	36	6
ds000168	36	3
ds005684	36	9
ds004731	36	3
ds003721	36	4
ds004958	35	4
ds003703	35	4
ds004529	35	5
ds004706	35	4
ds005795	35	5
ds003459	35	9
ds005402	35	5
ds003004	35	6
ds006525	35	6
ds006952	35	4
ds005121	35	1
ds003542	35	6
ds003647	35	7
ds000108	35	3
ds007126	35	41
ds003176	35	4
ds003789	34	4
ds001297	34	3
ds005733	34	3
ds000140	34	3
ds003146	34	2
ds002169	34	3
ds006756	34	7
ds004274	34	5
ds001590	33	1
ds006963	33	2
ds004305	33	5
ds007342	33	53
ds003357	33	4
ds007127	33	3
ds004021	33	1
ds004122	33	4
ds005241	33	6
ds004625	33	5
ds004470	33	4
ds004128	33	3
ds002879	33	17
ds003772	33	3
ds005403	33	4
ds005342	33	5
ds000210	32	5
ds002778	32	9
ds006039	32	3
ds001510	32	3
ds004393	32	23
ds005340	32	15
ds006556	32	45
ds007267	32	6
ds002741	32	3
ds001430	32	3
ds004860	32	6
ds005810	32	6
ds003766	32	4
ds006761	32	10
ds005920	32	5
ds003691	32	4
ds006502	32	6
ds006547	32	3
ds004109	32	4
ds002721	32	3
ds004581	31	7
ds004692	31	4
ds004446	31	4
ds006386	31	6
ds003739	31	5
ds000157	31	11
ds001545	31	3
ds005189	31	4
ds004892	31	62
ds004330	31	6
ds002006	31	20
ds004012	31	4
ds006848	31	7
ds002938	31	4
ds004444	31	4
ds004693	31	4
ds004488	31	4
ds004447	31	4
ds002732	31	3
ds004331	31	4
ds003555	31	5
ds005286	31	7
ds005383	31	6
ds005692	31	3
ds004496	31	4
ds004475	31	5
ds003606	31	3
ds003696	31	6
ds006768	31	7
ds004278	31	5
ds006805	31	3
ds006334	31	3
ds005704	30	4
ds001353	30	3
ds003012	30	16
ds004974	30	4
ds002080	30	51
ds002411	30	10
ds005876	30	6
ds005464	30	6
ds003007	30	30
ds006446	30	6
ds005285	30	9
ds005406	30	6
ds003639	30	3
ds004123	30	4
ds005932	30	6
ds005473	30	5
ds004909	30	4
ds005571	30	9
ds003999	30	12
ds004056	30	4
ds004654	29	4
ds003468	29	4
ds006729	29	9
ds003694	29	4
ds000121	29	3
ds004962	29	1
