participant_id	age	DOB	sex
sub-01	26	1984	m
sub-02	25	1985	f
sub-03	25	1985	m
sub-04	25	1985	m
sub-05	23	1987	f
sub-06	24	1986	f
sub-07	29	1981	m
sub-08	24	1986	f
sub-09	26	1984	f
sub-10	23	1987	f
sub-11	32	1978	m
sub-12	26	1984	m
sub-13	29	1981	m
sub-14	23	1987	f
sub-15	26	1984	m
sub-16	28	1982	m
sub-17	23	1987	f
sub-18	31	1979	m
sub-19	31	1979	f
sub-20	28	1982	m
sub-21	25	1985	m
