participant_id	subject number	species	strain	gender	genotype	name ses1	weight ses1	age ses1	name ses2	weight ses2	age ses2	name ses3	weight ses3	age ses3	name ses4	weight ses4	age ses4	name ses5	weight ses5	age ses5
sub-D393	Sub34	mus musculus	C57BL/6J	male	HET	9Mbase	27.7	40.2857	ME	28.6	38.4286	ME2	27.8	39.2857	RT	n/a	n/a	3Mbase	n/a	n/a
sub-D394	Sub35	mus musculus	C57BL/6J	male	HET	9Mbase	n/a	n/a	ME	30.4	40.7143	ME2	n/a	n/a	RT	n/a	n/a	3Mbase	n/a	n/a
sub-D396	Sub36	mus musculus	C57BL/6J	male	HET	9Mbase	28.8	40.7143	ME	29	39.5714	ME2	n/a	n/a	RT	n/a	n/a	3Mbase	n/a	n/a
sub-D397	Sub37	mus musculus	C57BL/6J	male	HET	9Mbase	n/a	n/a	ME	26.7	38.8571	ME2	n/a	n/a	RT	n/a	n/a	3Mbase	n/a	n/a
sub-D398	Sub38	mus musculus	C57BL/6J	male	HET	9Mbase	31.6	38.4286	ME	n/a	n/a	ME2	n/a	n/a	RT	30.2	40.2857	3Mbase	n/a	n/a
sub-D399	Sub39	mus musculus	C57BL/6J	male	HET	9Mbase	n/a	n/a	ME	30.5	39	ME2	n/a	n/a	RT	n/a	n/a	3Mbase	n/a	n/a
sub-D401	Sub40	mus musculus	C57BL/6J	male	HET	9Mbase	29.3	38.4286	ME	n/a	n/a	ME2	n/a	n/a	RT	28.1	40.2857	3Mbase	n/a	n/a
sub-D402	Sub41	mus musculus	C57BL/6J	male	HET	9Mbase	30	38.8571	ME	n/a	n/a	ME2	n/a	n/a	RT	29	40.1429	3Mbase	n/a	n/a
sub-D404	Sub42	mus musculus	C57BL/6J	male	HET	9Mbase	30.8	38.4286	ME	n/a	n/a	ME2	n/a	n/a	RT	28.5	40.2857	3Mbase	n/a	n/a
sub-D405	Sub43	mus musculus	C57BL/6J	male	HET	9Mbase	33.2	39	ME	n/a	n/a	ME2	n/a	n/a	RT	31.4	40.8571	3Mbase	n/a	n/a
sub-D706	Sub44	mus musculus	C57BL/6J	male	HET	9Mbase	n/a	n/a	ME	n/a	n/a	ME2	n/a	n/a	RT	n/a	n/a	3Mbase	26.3	12.5714
sub-D707	Sub45	mus musculus	C57BL/6J	male	HET	9Mbase	n/a	n/a	ME	n/a	n/a	ME2	n/a	n/a	RT	n/a	n/a	3Mbase	25.9	12.5714
