participant_id	gender	age
sub-001	F	25
sub-002	F	n/a
sub-011	M	n/a
sub-003	F	21
sub-004	F	18
sub-005	F	20
sub-006	M	n/a
sub-007	M	25
sub-008	F	25
sub-009	F	29
sub-010	F	21
sub-012	M	27
sub-013	M	22
sub-014	F	23
sub-015	F	23
sub-016	F	24
sub-017	F	24
sub-018	M	27
sub-019	M	25
sub-020	F	33
