participant_id	subject number	species	strain	gender	genotype	name ses1	weight ses1	age ses 1	name ses2	weight ses2	age ses 2	name ses3	weight ses3	age ses 3	name ses4	weight ses4	age ses 4
sub-D030	Sub38	mus musculus	C57BL/6J	male	WT	16Mbase	40.6	68	10Mbase	n/a	n/a	3Mbase	n/a	n/a	6Mbase	n/a	n/a
sub-D031	Sub39	mus musculus	C57BL/6J	male	WT	16Mbase	37	67	10Mbase	n/a	n/a	3Mbase	n/a	n/a	6Mbase	n/a	n/a
sub-D032	Sub40	mus musculus	C57BL/6J	male	WT	16Mbase	42.7	68	10Mbase	n/a	n/a	3Mbase	n/a	n/a	6Mbase	n/a	n/a
sub-D033	Sub41	mus musculus	C57BL/6J	male	WT	16Mbase	42.9	68	10Mbase	n/a	n/a	3Mbase	n/a	n/a	6Mbase	n/a	n/a
sub-D034	Sub42	mus musculus	C57BL/6J	male	WT	16Mbase	39.6	68	10Mbase	n/a	n/a	3Mbase	n/a	n/a	6Mbase	n/a	n/a
sub-D035	Sub43	mus musculus	C57BL/6J	male	WT	16Mbase	40.9	68	10Mbase	n/a	n/a	3Mbase	n/a	n/a	6Mbase	n/a	n/a
sub-D036	Sub44	mus musculus	C57BL/6J	male	WT	16Mbase	n/a	n/a	10Mbase	33.9	43	3Mbase	n/a	n/a	6Mbase	n/a	n/a
sub-D037	Sub45	mus musculus	C57BL/6J	male	WT	16Mbase	n/a	n/a	10Mbase	35.2	44	3Mbase	n/a	n/a	6Mbase	n/a	n/a
sub-D038	Sub46	mus musculus	C57BL/6J	male	WT	16Mbase	n/a	n/a	10Mbase	39.6	43	3Mbase	n/a	n/a	6Mbase	n/a	n/a
sub-D039	Sub47	mus musculus	C57BL/6J	male	WT	16Mbase	n/a	n/a	10Mbase	35.8	43	3Mbase	n/a	n/a	6Mbase	n/a	n/a
sub-D040	Sub48	mus musculus	C57BL/6J	male	WT	16Mbase	n/a	n/a	10Mbase	30.3	43	3Mbase	n/a	n/a	6Mbase	n/a	n/a
sub-D041	Sub49	mus musculus	C57BL/6J	male	WT	16Mbase	n/a	n/a	10Mbase	39.1	43	3Mbase	n/a	n/a	6Mbase	n/a	n/a
sub-D042	Sub50	mus musculus	C57BL/6J	male	WT	16Mbase	n/a	n/a	10Mbase	36.7	43	3Mbase	n/a	n/a	6Mbase	n/a	n/a
sub-D043	Sub51	mus musculus	C57BL/6J	male	WT	16Mbase	n/a	n/a	10Mbase	34.9	43	3Mbase	n/a	n/a	6Mbase	n/a	n/a
sub-D045	Sub52	mus musculus	C57BL/6J	male	WT	16Mbase	n/a	n/a	10Mbase	37.3	43	3Mbase	n/a	n/a	6Mbase	n/a	n/a
sub-D046	Sub53	mus musculus	C57BL/6J	male	WT	16Mbase	n/a	n/a	10Mbase	40.8	43	3Mbase	n/a	n/a	6Mbase	n/a	n/a
sub-D047	Sub54	mus musculus	C57BL/6J	male	WT	16Mbase	n/a	n/a	10Mbase	33.3	44	3Mbase	n/a	n/a	6Mbase	n/a	n/a
sub-D050	Sub55	mus musculus	C57BL/6J	male	WT	16Mbase	n/a	n/a	10Mbase	32.2	43	3Mbase	n/a	n/a	6Mbase	n/a	n/a
sub-D051	Sub56	mus musculus	C57BL/6J	male	WT	16Mbase	n/a	n/a	10Mbase	34.7	44	3Mbase	n/a	n/a	6Mbase	n/a	n/a
sub-D052	Sub57	mus musculus	C57BL/6J	male	WT	16Mbase	n/a	n/a	10Mbase	34	43	3Mbase	n/a	n/a	6Mbase	n/a	n/a
sub-D054	Sub58	mus musculus	C57BL/6J	male	WT	16Mbase	n/a	n/a	10Mbase	33	44	3Mbase	n/a	n/a	6Mbase	n/a	n/a
sub-D055	Sub59	mus musculus	C57BL/6J	male	WT	16Mbase	n/a	n/a	10Mbase	40.1	44	3Mbase	n/a	n/a	6Mbase	n/a	n/a
sub-D057	Sub60	mus musculus	C57BL/6J	male	WT	16Mbase	n/a	n/a	10Mbase	38.3	43	3Mbase	n/a	n/a	6Mbase	n/a	n/a
sub-D058	Sub61	mus musculus	C57BL/6J	male	WT	16Mbase	n/a	n/a	10Mbase	35.2	41	3Mbase	n/a	n/a	6Mbase	n/a	n/a
sub-D060	Sub62	mus musculus	C57BL/6J	male	HET	16Mbase	n/a	n/a	10Mbase	28.6	43	3Mbase	n/a	n/a	6Mbase	n/a	n/a
sub-D061	Sub63	mus musculus	C57BL/6J	male	HET	16Mbase	n/a	n/a	10Mbase	31.7	43	3Mbase	n/a	n/a	6Mbase	n/a	n/a
sub-D062	Sub64	mus musculus	C57BL/6J	male	HET	16Mbase	n/a	n/a	10Mbase	31.9	44	3Mbase	n/a	n/a	6Mbase	n/a	n/a
sub-D063	Sub65	mus musculus	C57BL/6J	male	HET	16Mbase	n/a	n/a	10Mbase	30.8	43	3Mbase	n/a	n/a	6Mbase	n/a	n/a
sub-D064	Sub66	mus musculus	C57BL/6J	male	HET	16Mbase	n/a	n/a	10Mbase	28.7	43	3Mbase	n/a	n/a	6Mbase	n/a	n/a
sub-D065	Sub67	mus musculus	C57BL/6J	male	HET	16Mbase	n/a	n/a	10Mbase	32.5	43	3Mbase	n/a	n/a	6Mbase	n/a	n/a
sub-D067	Sub68	mus musculus	C57BL/6J	male	HET	16Mbase	n/a	n/a	10Mbase	31.2	44	3Mbase	n/a	n/a	6Mbase	n/a	n/a
sub-D068	Sub69	mus musculus	C57BL/6J	male	HET	16Mbase	n/a	n/a	10Mbase	30.9	43	3Mbase	n/a	n/a	6Mbase	n/a	n/a
sub-D070	Sub70	mus musculus	C57BL/6J	male	HET	16Mbase	n/a	n/a	10Mbase	31.3	43	3Mbase	n/a	n/a	6Mbase	n/a	n/a
sub-D071	Sub71	mus musculus	C57BL/6J	male	HET	16Mbase	n/a	n/a	10Mbase	32.5	43	3Mbase	n/a	n/a	6Mbase	n/a	n/a
sub-D072	Sub72	mus musculus	C57BL/6J	male	HET	16Mbase	n/a	n/a	10Mbase	29.4	43	3Mbase	n/a	n/a	6Mbase	n/a	n/a
sub-D073	Sub73	mus musculus	C57BL/6J	male	HET	16Mbase	n/a	n/a	10Mbase	27.7	43	3Mbase	n/a	n/a	6Mbase	n/a	n/a
sub-D074	Sub74	mus musculus	C57BL/6J	male	HET	16Mbase	n/a	n/a	10Mbase	29	43	3Mbase	n/a	n/a	6Mbase	n/a	n/a
sub-D076	Sub75	mus musculus	C57BL/6J	male	HET	16Mbase	n/a	n/a	10Mbase	31.3	43	3Mbase	n/a	n/a	6Mbase	n/a	n/a
sub-D079	Sub76	mus musculus	C57BL/6J	male	HET	16Mbase	n/a	n/a	10Mbase	28.4	45	3Mbase	n/a	n/a	6Mbase	n/a	n/a
sub-D080	Sub77	mus musculus	C57BL/6J	male	HET	16Mbase	n/a	n/a	10Mbase	31.3	45	3Mbase	n/a	n/a	6Mbase	n/a	n/a
sub-D081	Sub78	mus musculus	C57BL/6J	male	HET	16Mbase	n/a	n/a	10Mbase	31.7	41	3Mbase	n/a	n/a	6Mbase	n/a	n/a
sub-D082	Sub79	mus musculus	C57BL/6J	male	HET	16Mbase	n/a	n/a	10Mbase	27.9	42	3Mbase	n/a	n/a	6Mbase	n/a	n/a
sub-D083	Sub80	mus musculus	C57BL/6J	male	HET	16Mbase	n/a	n/a	10Mbase	30.5	42	3Mbase	n/a	n/a	6Mbase	n/a	n/a
sub-D084	Sub81	mus musculus	C57BL/6J	Male	HET	16Mbase	n/a	n/a	10Mbase	n/a	n/a	3Mbase	27.8	13	6Mbase	n/a	n/a
sub-D085	Sub82	mus musculus	C57BL/6J	Male	HET	16Mbase	n/a	n/a	10Mbase	n/a	n/a	3Mbase	26.2	13	6Mbase	29.7	26
sub-D086	Sub83	mus musculus	C57BL/6J	Male	HET	16Mbase	n/a	n/a	10Mbase	n/a	n/a	3Mbase	n/a	n/a	6Mbase	32	25
sub-D087	Sub84	mus musculus	C57BL/6J	Male	HET	16Mbase	n/a	n/a	10Mbase	n/a	n/a	3Mbase	25	13	6Mbase	24.6	28
sub-D088	Sub85	mus musculus	C57BL/6J	Male	HET	16Mbase	n/a	n/a	10Mbase	n/a	n/a	3Mbase	29.5	14	6Mbase	31.3	28
sub-D089	Sub86	mus musculus	C57BL/6J	Male	WT	16Mbase	n/a	n/a	10Mbase	n/a	n/a	3Mbase	28.5	14	6Mbase	31.9	26
sub-D090	Sub87	mus musculus	C57BL/6J	Male	WT	16Mbase	n/a	n/a	10Mbase	n/a	n/a	3Mbase	29.1	13	6Mbase	31.9	26
sub-D091	Sub88	mus musculus	C57BL/6J	Male	WT	16Mbase	n/a	n/a	10Mbase	n/a	n/a	3Mbase	29.1	13	6Mbase	32.5	26
sub-D092	Sub89	mus musculus	C57BL/6J	Male	WT	16Mbase	n/a	n/a	10Mbase	n/a	n/a	3Mbase	29.6	13	6Mbase	33.9	28
sub-D093	Sub90	mus musculus	C57BL/6J	Male	WT	16Mbase	n/a	n/a	10Mbase	n/a	n/a	3Mbase	n/a	n/a	6Mbase	30.1	28
sub-D094	Sub91	mus musculus	C57BL/6J	Female	HET	16Mbase	n/a	n/a	10Mbase	n/a	n/a	3Mbase	20.7	13	6Mbase	n/a	n/a
sub-D095	Sub92	mus musculus	C57BL/6J	Female	HET	16Mbase	n/a	n/a	10Mbase	n/a	n/a	3Mbase	22.4	13	6Mbase	n/a	n/a
sub-D096	Sub93	mus musculus	C57BL/6J	Female	HET	16Mbase	n/a	n/a	10Mbase	n/a	n/a	3Mbase	22.3	13	6Mbase	n/a	n/a
sub-D098	Sub94	mus musculus	C57BL/6J	Female	HET	16Mbase	n/a	n/a	10Mbase	n/a	n/a	3Mbase	n/a	n/a	6Mbase	22.9	26
sub-D099	Sub95	mus musculus	C57BL/6J	Female	WT	16Mbase	n/a	n/a	10Mbase	n/a	n/a	3Mbase	22.7	13	6Mbase	27.2	26
sub-D100	Sub96	mus musculus	C57BL/6J	Female	WT	16Mbase	n/a	n/a	10Mbase	n/a	n/a	3Mbase	22.2	13	6Mbase	28.4	26
sub-D101	Sub97	mus musculus	C57BL/6J	Female	WT	16Mbase	n/a	n/a	10Mbase	n/a	n/a	3Mbase	n/a	n/a	6Mbase	24	27
sub-D102	Sub98	mus musculus	C57BL/6J	Female	WT	16Mbase	n/a	n/a	10Mbase	n/a	n/a	3Mbase	22	13	6Mbase	n/a	n/a
sub-D103	Sub99	mus musculus	C57BL/6J	Female	WT	16Mbase	n/a	n/a	10Mbase	n/a	n/a	3Mbase	22	13	6Mbase	26.8	27
sub-D104	Sub100	mus musculus	C57BL/6J	Male	HET	16Mbase	n/a	n/a	10Mbase	n/a	n/a	3Mbase	28.1	13	6Mbase	31.2	26
sub-D105	Sub101	mus musculus	C57BL/6J	Male	HET	16Mbase	n/a	n/a	10Mbase	n/a	n/a	3Mbase	29	14	6Mbase	n/a	n/a
sub-D106	Sub102	mus musculus	C57BL/6J	Male	HET	16Mbase	n/a	n/a	10Mbase	n/a	n/a	3Mbase	26.8	14	6Mbase	29.5	28
sub-D107	Sub103	mus musculus	C57BL/6J	Male	HET	16Mbase	n/a	n/a	10Mbase	n/a	n/a	3Mbase	n/a	n/a	6Mbase	27.7	28
sub-D108	Sub104	mus musculus	C57BL/6J	Male	HET	16Mbase	n/a	n/a	10Mbase	n/a	n/a	3Mbase	28.5	14	6Mbase	30	26
sub-D109	Sub105	mus musculus	C57BL/6J	Male	WT	16Mbase	n/a	n/a	10Mbase	n/a	n/a	3Mbase	n/a	n/a	6Mbase	33.6	25
sub-D110	Sub106	mus musculus	C57BL/6J	Male	WT	16Mbase	n/a	n/a	10Mbase	n/a	n/a	3Mbase	28.1	13	6Mbase	32.2	26
sub-D111	Sub107	mus musculus	C57BL/6J	Male	WT	16Mbase	n/a	n/a	10Mbase	n/a	n/a	3Mbase	25.8	13	6Mbase	n/a	n/a
sub-D112	Sub108	mus musculus	C57BL/6J	Male	WT	16Mbase	n/a	n/a	10Mbase	n/a	n/a	3Mbase	29	13	6Mbase	30.2	26
sub-D113	Sub109	mus musculus	C57BL/6J	Male	WT	16Mbase	n/a	n/a	10Mbase	n/a	n/a	3Mbase	27.5	14	6Mbase	n/a	n/a
sub-D114	Sub110	mus musculus	C57BL/6J	Female	HET	16Mbase	n/a	n/a	10Mbase	n/a	n/a	3Mbase	21.3	13	6Mbase	22.6	26
sub-D115	Sub111	mus musculus	C57BL/6J	Female	HET	16Mbase	n/a	n/a	10Mbase	n/a	n/a	3Mbase	20.7	13	6Mbase	24.1	26
sub-D116	Sub112	mus musculus	C57BL/6J	Female	HET	16Mbase	n/a	n/a	10Mbase	n/a	n/a	3Mbase	19.6	13	6Mbase	23.6	27
sub-D117	Sub113	mus musculus	C57BL/6J	Female	HET	16Mbase	n/a	n/a	10Mbase	n/a	n/a	3Mbase	19.5	14	6Mbase	23.7	25
sub-D118	Sub114	mus musculus	C57BL/6J	Female	HET	16Mbase	n/a	n/a	10Mbase	n/a	n/a	3Mbase	20.3	14	6Mbase	22.8	25
sub-D119	Sub115	mus musculus	C57BL/6J	Female	WT	16Mbase	n/a	n/a	10Mbase	n/a	n/a	3Mbase	21.5	13	6Mbase	n/a	n/a
sub-D120	Sub116	mus musculus	C57BL/6J	Female	WT	16Mbase	n/a	n/a	10Mbase	n/a	n/a	3Mbase	20.2	14	6Mbase	22	28
