participant_id	age	sex	race_ethnicity
sub-01	19	F	SEA
sub-02	24	F	W
sub-06	26	F	W
sub-07	20	F	HL
sub-08	19	F	EA
sub-09	21	F	EA
sub-10	20	F	W
sub-11	21	F	W
sub-12	22	F	W
sub-13	28	F	W/EA
sub-16	19	F	SEA
sub-19	18	F	HL
sub-20	28	F	W
sub-23	18	F	SEA
sub-24	21	F	W
sub-25	24	F	EA
sub-27	25	F	W
sub-28	21	F	SEA
sub-30	18	F	B
sub-32	23	F	HL
sub-34	19	F	SEA
sub-35	19	F	W
