participant_id	gender	age
sub-01	M	23
sub-02	M	21
sub-03	F	19
sub-04	F	22
sub-05	F	18
sub-06	M	23
sub-07	F	20
sub-08	F	20
sub-09	M	21
sub-10	M	26
sub-11	F	23
sub-12	F	20
sub-13	M	20
sub-14	M	21
sub-15	M	20
sub-16	M	24
sub-17	F	18
sub-18	F	19
sub-19	M	19
sub-20	M	21
sub-21	F	23
sub-22	M	19
sub-23	F	22
sub-24	F	20
sub-25	F	23
sub-26	F	19
sub-27	F	20
sub-28	M	25
sub-29	M	21
sub-30	F	18
sub-31	F	21
sub-32	M	21
