participant_id	sex
sub-0217	F
sub-0484	F
sub-0914	F
sub-1052	M
sub-1054	M
sub-1059	F
sub-1060	F
sub-1061	F
sub-1064	F
sub-1065	F
sub-1066	M
sub-1067	F
sub-1068	M
sub-1069	M
sub-1093	F
sub-1433	F
sub-2026	F
sub-2031	M
sub-2044	M
sub-2123	M
sub-2124	M
sub-2503	M
sub-2515	M
sub-3006	F
sub-3557	M
sub-3593	F
