participant_id	gender	age
sub-01	F	23
sub-02	F	20
sub-03	F	23
sub-04	M	24
sub-05	M	18
sub-06	M	20
sub-07	M	24
sub-08	F	21
sub-09	M	23
sub-10	F	20
sub-11	F	22
sub-12	F	22
sub-13	M	26
sub-14	F	19
sub-15	M	19
sub-16	M	19
sub-17	F	30
sub-18	F	19
sub-19	F	20
sub-20	M	19
sub-21	M	23
sub-22	M	18
sub-23	F	25
sub-24	M	23
