participant_id	treatment	sex	mouse_strain	RRB
sub-01	SH	F	C58	24814
sub-02	SH	F	C58	46790
sub-03	EE	F	C58	1182
sub-04	EE	F	C58	1939
sub-05	EE	F	C58	1225
sub-06	EE	F	C58	667
sub-07	EE	F	C58	638
sub-08	EE	F	C58	1459
sub-09	EE	M	C58	987
sub-10	EE	M	C58	1603
sub-11	EE	M	C58	805
sub-12	EE	M	C58	1311
sub-13	SH	F	C58	13878
sub-14	SH	F	C58	24186
sub-15	SH	F	C58	6943
sub-16	SH	M	C58	13864
sub-17	SH	M	C58	6630
sub-18	SH	M	C58	8744
