participant_id	subject number	species	strain	gender	genotype	name ses1	weight ses1	age ses1	name ses2	weight ses2	age ses2	name ses3	weight ses3	age ses3	name ses4	weight ses4	age ses4	name ses5	weight ses5	age ses5
sub-C939	Sub1	mus musculus	C57BL/6J	male	HET	9Mbase	29.5	37.7143	ME	29.5	38.7143	T	n/a	n/a	RT	n/a	n/a	3Mbase	n/a	n/a
sub-C940	Sub2	mus musculus	C57BL/6J	male	HET	9Mbase	26	38.5714	ME	27.9	37	T	n/a	n/a	RT	n/a	n/a	3Mbase	n/a	n/a
sub-C941	Sub3	mus musculus	C57BL/6J	male	HET	9Mbase	28.8	37.2857	ME	n/a	n/a	T	n/a	n/a	RT	n/a	n/a	3Mbase	n/a	n/a
sub-C942	Sub4	mus musculus	C57BL/6J	male	HET	9Mbase	28.1	38.5714	ME	29	37	T	n/a	n/a	RT	n/a	n/a	3Mbase	n/a	n/a
sub-C943	Sub5	mus musculus	C57BL/6J	male	HET	9Mbase	29.5	36.8571	ME	n/a	n/a	T	n/a	n/a	RT	n/a	n/a	3Mbase	n/a	n/a
sub-C944	Sub6	mus musculus	C57BL/6J	male	HET	9Mbase	29	37.5714	ME	29.6	36.4286	T	n/a	n/a	RT	n/a	n/a	3Mbase	n/a	n/a
sub-C945	Sub7	mus musculus	C57BL/6J	male	HET	9Mbase	27.5	37.2857	ME	29	38.8571	T	n/a	n/a	RT	n/a	n/a	3Mbase	n/a	n/a
sub-C946	Sub8	mus musculus	C57BL/6J	male	HET	9Mbase	n/a	n/a	ME	29.6	36.4286	T	n/a	n/a	RT	n/a	n/a	3Mbase	n/a	n/a
sub-C947	Sub9	mus musculus	C57BL/6J	male	HET	9Mbase	33.1	37.2857	ME	n/a	n/a	T	n/a	n/a	RT	n/a	n/a	3Mbase	n/a	n/a
sub-C948	Sub10	mus musculus	C57BL/6J	male	HET	9Mbase	29	37	ME	n/a	n/a	T	n/a	n/a	RT	n/a	n/a	3Mbase	n/a	n/a
sub-C949	Sub11	mus musculus	C57BL/6J	male	HET	9Mbase	31.1	36.8571	ME	n/a	n/a	T	n/a	n/a	RT	n/a	n/a	3Mbase	n/a	n/a
sub-C951	Sub12	mus musculus	C57BL/6J	male	HET	9Mbase	31.8	37.5714	ME	32.6	36.7143	T	n/a	n/a	RT	n/a	n/a	3Mbase	n/a	n/a
sub-C952	Sub13	mus musculus	C57BL/6J	male	HET	9Mbase	32.1	37	ME	n/a	n/a	T	n/a	n/a	RT	n/a	n/a	3Mbase	n/a	n/a
sub-C953	Sub14	mus musculus	C57BL/6J	male	HET	9Mbase	n/a	n/a	ME	29	36.7143	T	n/a	n/a	RT	n/a	n/a	3Mbase	n/a	n/a
sub-C955	Sub15	mus musculus	C57BL/6J	male	HET	9Mbase	27.5	38.1429	ME	n/a	n/a	T	n/a	n/a	RT	n/a	n/a	3Mbase	n/a	n/a
sub-C956	Sub16	mus musculus	C57BL/6J	male	HET	9Mbase	30.5	38.2857	ME	n/a	n/a	T	n/a	n/a	RT	n/a	n/a	3Mbase	n/a	n/a
sub-C957	Sub17	mus musculus	C57BL/6J	male	HET	9Mbase	28.8	38.5714	ME	n/a	n/a	T	n/a	n/a	RT	n/a	n/a	3Mbase	n/a	n/a
sub-C958	Sub18	mus musculus	C57BL/6J	male	HET	9Mbase	29.9	38.1429	ME	n/a	n/a	T	n/a	n/a	RT	n/a	n/a	3Mbase	n/a	n/a
sub-C959	Sub19	mus musculus	C57BL/6J	male	HET	9Mbase	30.5	36.8571	ME	n/a	n/a	T	n/a	n/a	RT	n/a	n/a	3Mbase	n/a	n/a
sub-C960	Sub20	mus musculus	C57BL/6J	male	HET	9Mbase	n/a	n/a	ME	29.4	37	T	n/a	n/a	RT	n/a	n/a	3Mbase	n/a	n/a
sub-C961	Sub21	mus musculus	C57BL/6J	male	HET	9Mbase	30.4	37.1429	ME	n/a	n/a	T	n/a	n/a	RT	n/a	n/a	3Mbase	n/a	n/a
sub-C962	Sub22	mus musculus	C57BL/6J	male	HET	9Mbase	31.7	37.8571	ME	32.8	37.2857	T	n/a	n/a	RT	n/a	n/a	3Mbase	n/a	n/a
sub-C963	Sub23	mus musculus	C57BL/6J	male	WT	9Mbase	33.8	38.5714	ME	n/a	n/a	T	n/a	n/a	RT	n/a	n/a	3Mbase	n/a	n/a
sub-C964	Sub24	mus musculus	C57BL/6J	male	WT	9Mbase	37.8	38.1429	ME	n/a	n/a	T	n/a	n/a	RT	n/a	n/a	3Mbase	n/a	n/a
sub-C965	Sub25	mus musculus	C57BL/6J	male	WT	9Mbase	43.8	38.1429	ME	n/a	n/a	T	n/a	n/a	RT	n/a	n/a	3Mbase	n/a	n/a
sub-C966	Sub26	mus musculus	C57BL/6J	male	WT	9Mbase	32.4	38.1429	ME	n/a	n/a	T	n/a	n/a	RT	n/a	n/a	3Mbase	n/a	n/a
sub-C967	Sub27	mus musculus	C57BL/6J	male	WT	9Mbase	35.5	37.2857	ME	n/a	n/a	T	n/a	n/a	RT	n/a	n/a	3Mbase	n/a	n/a
sub-C968	Sub28	mus musculus	C57BL/6J	male	WT	9Mbase	34.6	37.2857	ME	n/a	n/a	T	n/a	n/a	RT	n/a	n/a	3Mbase	n/a	n/a
sub-C972	Sub29	mus musculus	C57BL/6J	male	WT	9Mbase	34	37.7143	ME	n/a	n/a	T	n/a	n/a	RT	n/a	n/a	3Mbase	n/a	n/a
sub-C973	Sub30	mus musculus	C57BL/6J	male	WT	9Mbase	34.9	37.2857	ME	n/a	n/a	T	n/a	n/a	RT	n/a	n/a	3Mbase	n/a	n/a
sub-C974	Sub31	mus musculus	C57BL/6J	male	WT	9Mbase	34	37.1429	ME	n/a	n/a	T	n/a	n/a	RT	n/a	n/a	3Mbase	n/a	n/a
sub-C975	Sub32	mus musculus	C57BL/6J	male	WT	9Mbase	37.1	37.7143	ME	n/a	n/a	T	n/a	n/a	RT	n/a	n/a	3Mbase	n/a	n/a
sub-C976	Sub33	mus musculus	C57BL/6J	male	WT	9Mbase	32.4	37.4286	ME	n/a	n/a	T	n/a	n/a	RT	n/a	n/a	3Mbase	n/a	n/a
sub-C977	Sub34	mus musculus	C57BL/6J	male	WT	9Mbase	32.5	37.2857	ME	n/a	n/a	T	n/a	n/a	RT	n/a	n/a	3Mbase	n/a	n/a
sub-C978	Sub35	mus musculus	C57BL/6J	male	WT	9Mbase	37.2	37.4286	ME	n/a	n/a	T	n/a	n/a	RT	n/a	n/a	3Mbase	n/a	n/a
sub-C980	Sub36	mus musculus	C57BL/6J	male	WT	9Mbase	34	37.2857	ME	n/a	n/a	T	n/a	n/a	RT	n/a	n/a	3Mbase	n/a	n/a
sub-C981	Sub37	mus musculus	C57BL/6J	male	WT	9Mbase	32.6	37.4286	ME	n/a	n/a	T	n/a	n/a	RT	n/a	n/a	3Mbase	n/a	n/a
sub-C982	Sub38	mus musculus	C57BL/6J	male	WT	9Mbase	32.2	37.4286	ME	n/a	n/a	T	n/a	n/a	RT	n/a	n/a	3Mbase	n/a	n/a
sub-C983	Sub39	mus musculus	C57BL/6J	male	WT	9Mbase	33.6	37.8571	ME	n/a	n/a	T	n/a	n/a	RT	n/a	n/a	3Mbase	n/a	n/a
sub-C984	Sub40	mus musculus	C57BL/6J	male	WT	9Mbase	37.2	37.4286	ME	n/a	n/a	T	n/a	n/a	RT	n/a	n/a	3Mbase	n/a	n/a
sub-C985	Sub41	mus musculus	C57BL/6J	male	WT	9Mbase	32.6	37.5714	ME	n/a	n/a	T	n/a	n/a	RT	n/a	n/a	3Mbase	n/a	n/a
sub-C986	Sub42	mus musculus	C57BL/6J	male	WT	9Mbase	32.7	37.2857	ME	n/a	n/a	T	n/a	n/a	RT	n/a	n/a	3Mbase	n/a	n/a
sub-D334	Sub43	mus musculus	C57BL/6J	male	HET	9Mbase	n/a	n/a	ME	n/a	n/a	T	32.7	36	RT	31.3	36.4286	3Mbase	n/a	n/a
sub-D335	Sub44	mus musculus	C57BL/6J	male	HET	9Mbase	n/a	n/a	ME	n/a	n/a	T	31.8	36.1429	RT	30.4	36.4286	3Mbase	n/a	n/a
sub-D338	Sub45	mus musculus	C57BL/6J	male	HET	9Mbase	n/a	n/a	ME	n/a	n/a	T	34.7	36	RT	33.5	36.4286	3Mbase	n/a	n/a
sub-D339	Sub46	mus musculus	C57BL/6J	male	HET	9Mbase	n/a	n/a	ME	n/a	n/a	T	32.4	36.2857	RT	31.3	36.5714	3Mbase	n/a	n/a
sub-D340	Sub47	mus musculus	C57BL/6J	male	HET	9Mbase	n/a	n/a	ME	n/a	n/a	T	30	36.1429	RT	28.7	36.4286	3Mbase	n/a	n/a
sub-D345	Sub48	mus musculus	C57BL/6J	male	HET	9Mbase	n/a	n/a	ME	n/a	n/a	T	34.6	36.1429	RT	33.7	36.4286	3Mbase	n/a	n/a
sub-D104	Sub49	mus musculus	C57BL/6J	male	HET	9Mbase	n/a	n/a	ME	n/a	n/a	T	29.5	38.8571	RT	28.6	40.5714	3Mbase	n/a	n/a
sub-D125	Sub50	mus musculus	C57BL/6J	male	HET	9Mbase	n/a	n/a	ME	n/a	n/a	T	27.9	38.7143	RT	28.3	39.7143	3Mbase	n/a	n/a
sub-D322	Sub51	mus musculus	C57BL/6J	male	WT	9Mbase	n/a	n/a	ME	n/a	n/a	T	36.6	36.2857	RT	35.4	36.5714	3Mbase	n/a	n/a
