participant_id	sex	age	handedness	handedness_quotient	education_years	L1_language	L2_language	L3_language	L4_language	proficiency_cambridge	proficiency_lextale	raven_score	L1_VF_category	L1_VF_letter	L2_VF_category	L2_VF_letter	L1_AoA_learn	L1_AoA_use	L1_Active_use	L1_Passive_use	L1_reading_self_rated_proficiency	L1_listening_self_rated_proficiency	L1_writing_self_rated_proficiency	L1_speaking_self_rated_proficiency	L1_accent_self_rated_proficiency	L2_AoA_learn	L2_AoA_use	L2_Active_use	L2_Passive_use	L2_reading_self_rated_proficiency	L2_listening_self_rated_proficiency	L2_writing_self_rated_proficiency	L2_speaking_self_rated_proficiency	L2_accent_self_rated_proficiency	L3_AoA_learn	L3_AoA_use	L3_Active_use	L3_Passive_use	L3_reading_self_rated_proficiency	L3_listening_self_rated_proficiency	L3_writing_self_rated_proficiency	L3_speaking_self_rated_proficiency	L3_accent_self_rated_proficiency	L4_AoA_learn	L4_AoA_use	L4_Active_use	L4_Passive_use	L4_reading_self_rated_proficiency	L4_listening_self_rated_proficiency	L4_writing_self_rated_proficiency	L4_speaking_self_rated_proficiency	L4_accent_self_rated_proficiency
sub-WF29023	f	25	right	46.67	15	Polish	English	Ukrainian	German	18.0	68.3	83.33	5.0	12.0	1.0	5.0	0.0	4.0	60	50	10.0	10.0	9.0	10.0	10.0	9.0	12.0	20	30	9.0	9.0	7.0	6.0	3.0	23.0	24.0	20	20	7.0	6.0	6.0	4.0	4.0	15.0	16.0	0	0	7.0	5.0	3.0	4.0	5.0
sub-WF29024	f	20	right	78.95	15	Polish	English	French	0.0	22.0	79.4	66.67	18.0	19.0	18.0	13.0	0.0	4.0	65	38	10.0	10.0	10.0	10.0	10.0	4.0	4.0	35	60	9.0	9.0	8.0	9.0	10.0	13.0	16.0	0	2	6.0	3.0	3.0	2.0	3.0	0.0	0.0	0	0	0.0	0.0	0.0	0.0	0.0
sub-WF29025	f	20	right	88.24	16	Polish	English	Russian	0.0	21.0	74.6	50.0	15.0	13.0	9.0	5.0	0.0	4.0	70	60	10.0	10.0	10.0	10.0	10.0	7.0	10.0	20	30	8.0	9.0	8.0	7.0	5.0	16.0	17.0	10	10	8.0	9.0	7.0	8.0	6.0	0.0	0.0	0	0	0.0	0.0	0.0	0.0	0.0
sub-WF29026	m	22	right	100.0	15	Polish	English	Spanish	0.0	24.0	84.1	72.22	14.0	13.0	13.0	9.0	0.0	0.0	78	37	10.0	10.0	8.0	8.0	10.0	4.0	10.0	20	60	8.0	7.0	6.0	6.0	8.0	16.0	17.0	2	3	2.0	1.0	1.0	1.0	2.0	0.0	0.0	0	0	0.0	0.0	0.0	0.0	0.0
sub-WF29027	f	23	right	78.95	12	Polish	English	Spanish	0.0	23.0	71.4	55.56	28.0	13.0	17.0	8.0	0.0	3.0	80	80	10.0	10.0	10.0	10.0	10.0	5.0	5.0	20	18	9.0	10.0	9.0	9.0	9.0	13.0	13.0	0	2	7.0	8.0	6.0	6.0	7.0	0.0	0.0	0	0	0.0	0.0	0.0	0.0	0.0
sub-WF29028	f	22	right	100.0	12	Polish	English	Italian	Spanish	21.0	76.2	50.0	18.0	6.0	18.0	18.0	0.0	0.0	80	55	10.0	10.0	10.0	10.0	10.0	7.0	9.0	20	40	8.0	8.0	8.0	8.0	3.0	16.0	16.0	0	0	1.0	1.0	1.0	0.0	0.0	22.0	22.0	0	5	2.0	1.0	1.0	1.0	0.0
sub-WF29029	m	18	right	62.5	12	Polish	English	German	0.0	23.0	74.6	83.33	12.0	15.0	16.0	9.0	0.0	0.0	74	54	10.0	10.0	10.0	10.0	10.0	5.0	6.0	25	45	9.0	9.0	8.0	8.0	7.0	12.0	12.0	1	1	5.0	5.0	5.0	5.0	5.0	0.0	0.0	0	0	0.0	0.0	0.0	0.0	0.0
sub-WF29030	f	20	right	88.24	12	Polish	English	Ukrainian	Italian	24.0	n/a	88.89	19.0	14.0	25.0	16.0	0.0	0.0	90	70	10.0	10.0	10.0	10.0	10.0	5.0	10.0	10	25	8.0	7.0	6.0	8.0	6.0	19.0	20.0	0	5	3.0	1.0	1.0	2.0	1.0	16.0	18.0	0	0	3.0	1.0	0.0	1.0	1.0
sub-WF29031	m	18	right	80.0	13	Polish	English	Italian	Spanish	21.0	74.6	50.0	10.0	7.0	10.0	7.0	0.0	0.0	70	30	10.0	10.0	10.0	10.0	8.0	8.0	9.0	30	55	10.0	8.0	8.0	9.0	7.0	7.0	7.0	0	0	10.0	9.0	6.0	10.0	10.0	14.0	17.0	0	15	7.0	8.0	6.0	7.0	3.0
sub-WF29032	m	23	right	86.67	12	Polish	English	German	0.0	25.0	90.5	0.72	16.0	12.0	24.0	10.0	0.0	0.0	65	40	10	10	10	10	10	6.0	9.0	35	60	10	9	9	9	7	13.0	16.0	0	0	3	2	2	3	3	0.0	0.0	0	0	0.0	0.0	0.0	0.0	0.0
