participant_id	species	age	sex	handedness
sub-e546cfcc	homo sapiens	55-59	female	right
sub-82fe98c8	homo sapiens	70-74	male	right
sub-558ae3f4	homo sapiens	35-39	male	right
sub-950e564c	homo sapiens	55-59	female	right
sub-eb3ca437	homo sapiens	45-49	male	right
sub-cb0d5dc9	homo sapiens	25-29	female	right
sub-92697fa0	homo sapiens	50-54	female	right
sub-0d4baa02	homo sapiens	35-39	female	right
sub-ffe2bdc8	homo sapiens	45-49	male	right
sub-ac828a78	homo sapiens	35-39	male	right
sub-727e6d4b	homo sapiens	65-69	female	right
sub-be3f38f2	homo sapiens	65-69	female	right
sub-a7589340	homo sapiens	50-54	male	right
sub-ab91e352	homo sapiens	30-34	male	right
sub-d201afb2	homo sapiens	30-34	female	right
sub-eca5dc8c	homo sapiens	40-44	male	right
sub-0e957771	homo sapiens	35-39	male	right
sub-e0b7f6d5	homo sapiens	35-39	male	right
sub-a5caf0ba	homo sapiens	50-54	male	right
sub-db0b00d5	homo sapiens	35-39	female	right
sub-9abe9cf3	homo sapiens	35-39	female	right
sub-acd45b64	homo sapiens	35-39	male	right
sub-928872f7	homo sapiens	25-29	male	right
sub-bed8fefe	homo sapiens	35-39	female	right
sub-a8e40866	homo sapiens	40-44	male	left
sub-105ac56d	homo sapiens	25-29	male	right
sub-b9920189	homo sapiens	30-34	female	right
sub-c1dfda2a	homo sapiens	20-24	male	right
sub-ca3a2cc9	homo sapiens	15-19	male	right
sub-65149121	homo sapiens	60-64	male	left
sub-0043fc1f	homo sapiens	50-54	male	right
sub-db6baac4	homo sapiens	50-54	female	right
sub-110b55b8	homo sapiens	20-24	male	right
sub-5944127f	homo sapiens	65-69	male	right
sub-520eb877	homo sapiens	25-29	male	left
sub-07f86ca9	homo sapiens	50-54	female	right
sub-fac322ce	homo sapiens	30-34	male	left
sub-76584c89	homo sapiens	50-54	male	right
sub-9447e39c	homo sapiens	65-69	male	right
sub-fac070a3	homo sapiens	50-54	female	right
sub-33b412f5	homo sapiens	30-34	female	right
sub-77b9c826	homo sapiens	65-69	male	right
sub-cfc9dd40	homo sapiens	35-39	female	right
sub-2c049d6f	homo sapiens	60-64	male	right
sub-ab036bec	homo sapiens	50-54	male	right
sub-9dc134e3	homo sapiens	40-44	male	right
sub-2305323a	homo sapiens	65-69	male	right
sub-62a33947	homo sapiens	30-34	male	right
sub-1ea81d7c	homo sapiens	20-24	female	right
