"participant_id,timepoint,session,age,Sex,MEd,HLE,FHD,pre_word_access_raw,pre_word_fluency_raw,pre_substitution_raw,pre_wjiv_oralcomp_raw,pre_wjiv_pvocab_raw,pre_wjiv_phonproc_standard,pre_wjiv_orallang_standard,kbit2_raw,kbit2_standard,beg_wrmt3_wrd_id_raw,beg_wrmt3_wrdatt_raw,beg_wrmt3_wrd_id_stnd,beg_wrmt3_wrdatt_stnd,pre_beh_age,beg_beh_age,euler,qc_s,qc_ARC_L,qc_ARC_R,qc_ILF_L,qc_ILF_R,qc_SLF_L,qc_SLF_R,inf_num_books_adult_ord,inf_ebooks_adult_ord,inf_books_kids_ord,inf_ebooks_kids_ord,inf_reading_age_child_ord,inf_child_reading_time_ord,inf_child_count,inf_child_alphabet,inf_fam_readership,inf_fam_write_notes,inf_fam_write_creative,inf_fam_joke,tod_num_books_adult_ord,tod_ebooks_adult_ord,tod_books_kids_ord,tod_ebooks_kids_ord,tod_reading_age_child_ord,tod_child_reading_time_ord,tod_child_count,tod_child_alphabet,tod_fam_readership,tod_fam_write_notes,tod_fam_write_creative,tod_fam_joke,pre_num_books_adult_ord,pre_ebooks_adult_ord,pre_books_kids_ord,pre_ebooks_kids_ord,pre_reading_age_child_ord,pre_child_reading_time_ord,pre_child_count,pre_child_alphabet,pre_fam_readership,pre_fam_write_notes,pre_fam_write_creative,pre_fam_joke,beg_num_books_adult_ord,beg_ebooks_adult_ord,beg_books_kids_ord,beg_ebooks_kids_ord,beg_reading_age_child_ord,beg_child_reading_time_ord,beg_child_count,beg_child_alphabet,beg_fam_readership,beg_fam_write_notes,beg_fam_write_creative,beg_fam_joke,rea_num_books_adult_ord,rea_ebooks_adult_ord,rea_books_kids_ord,rea_ebooks_kids_ord,rea_reading_age_child_ord,rea_child_reading_time_ord,rea_child_count,rea_child_alphabet,rea_fam_readership,rea_fam_write_notes,rea_fam_write_creative,rea_fam_joke"
"sub-04,PRE,3,65.73587385,0,20,-0.288351918,1,9,6,6,16,24,118,125,20,116,21,8,121,111,60.282523,78.64651774,-71,2,2,2,2,2,2,2,5,2,3,1,1,3,2,2,5,5,2,3,5,1,3,1,1,5,3,4,4,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
"sub-04,BEG,4,79.79768944,0,20,-0.288351918,1,9,6,6,16,24,118,125,20,116,21,8,121,111,60.282523,78.64651774,-66,1,2,2,2,2,2,2,5,2,3,1,1,3,2,2,5,5,2,3,5,1,3,1,1,5,3,4,4,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
"sub-04,REA,5,90.01450942,0,20,-0.288351918,1,9,6,6,16,24,118,125,20,116,21,8,121,111,60.282523,78.64651774,-35,2,2,2,2,2,2,2,5,2,3,1,1,3,2,2,5,5,2,3,5,1,3,1,1,5,3,4,4,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
"sub-05,INF,1,6.964520368,1,20,-0.426585801,0,7,0,0,16,25,89,123,24,126,NA,NA,NA,NA,63.30623084,NA,-29,1.333333333,NA,NA,NA,NA,NA,NA,3,2,3,1,2,2,1,2,3,5,2,2,2,2,4,1,2,2,2,2,4,2,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
"sub-05,TOD,2,17.47700394,1,20,-0.426585801,0,7,0,0,16,25,89,123,24,126,NA,NA,NA,NA,63.30623084,NA,-17,2,1.5,2,2,2,2,2,3,2,3,1,2,2,1,2,3,5,2,2,2,2,4,1,2,2,2,2,4,2,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
"sub-05,PRE,3,64.32462768,1,20,-0.426585801,0,7,0,0,16,25,89,123,24,126,NA,NA,NA,NA,63.30623084,NA,-111,1.5,2,2,2,1.5,1.5,2,3,2,3,1,2,2,1,2,3,5,2,2,2,2,4,1,2,2,2,2,4,2,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
"sub-06,INF,1,9.296977661,1,20,-0.234116283,1,9,4,3,15,26,98,117,16,96,18,10,102,104,69.05524529,85.11826544,-16,1.666666667,NA,NA,NA,NA,NA,NA,3,2,2,1,3,1,1,1,2,3,2,3,3,2,3,1,3,3,6,6,4,6,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
"sub-06,TOD,2,24.24441524,1,20,-0.234116283,1,9,4,3,15,26,98,117,16,96,18,10,102,104,69.05524529,85.11826544,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,1,3,1,1,1,2,3,2,3,3,2,3,1,3,3,6,6,4,6,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
"sub-06,PRE,3,70.43363995,1,20,-0.234116283,1,9,4,3,15,26,98,117,16,96,18,10,102,104,69.05524529,85.11826544,-81,2,1.5,2,2,2,2,2,3,2,2,1,3,1,1,1,2,3,2,3,3,2,3,1,3,3,6,6,4,6,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
"sub-06,BEG,4,85.44678055,1,20,-0.234116283,1,9,4,3,15,26,98,117,16,96,18,10,102,104,69.05524529,85.11826544,-43,2,2,2,1.5,2,2,2,3,2,2,1,3,1,1,1,2,3,2,3,3,2,3,1,3,3,6,6,4,6,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
